asset,feature_1,feature_2,H
AAPL_STOCK_RV5,RVW,VIX_lag1,0.29051006433992393
AAPL_STOCK_RV5,RVD,VIX_lag1,0.2806233768261819
AAPL_STOCK_RV5,RVD,M1W_lag1,0.15353863736310913
AAPL_STOCK_RV5,RVD,RVW,0.1293571242066911
AAPL_STOCK_RV5,RVD,ofi_lag1,0.07303080972633717
AAPL_STOCK_RV5,RVD,relspr_lag1,0.05812343280014314
AAPL_STOCK_RV5,RVD,d_log_dollar_volume_lag1,0.05257560289470604
AMD_STOCK_RV5,RVD,RVW,0.23384742088774774
AMD_STOCK_RV5,RVD,M1W_lag1,0.14026304421289562
AMD_STOCK_RV5,RVW,VIX_lag1,0.13231906342525962
AMD_STOCK_RV5,RVD,relspr_lag1,0.07564047054676162
AMD_STOCK_RV5,RVD,VIX_lag1,0.07388073187564444
AMD_STOCK_RV5,RVD,d_log_dollar_volume_lag1,0.05089604485953065
AMD_STOCK_RV5,RVD,ofi_lag1,0.037890468598329535
AMZN_STOCK_RV5,RVW,VIX_lag1,0.18351334395391555
AMZN_STOCK_RV5,RVD,RVW,0.12298914627298692
AMZN_STOCK_RV5,RVD,VIX_lag1,0.109000431751009
AMZN_STOCK_RV5,RVD,ofi_lag1,0.09756997381067892
AMZN_STOCK_RV5,RVD,relspr_lag1,0.06923556574226264
AMZN_STOCK_RV5,RVD,M1W_lag1,0.06217149962326389
AMZN_STOCK_RV5,RVD,d_log_dollar_volume_lag1,0.055150259296565786
ATVI_STOCK_RV5,RVD,VIX_lag1,0.197199647078361
ATVI_STOCK_RV5,RVW,VIX_lag1,0.1848410468309083
ATVI_STOCK_RV5,RVD,RVW,0.13042284411766358
ATVI_STOCK_RV5,RVD,M1W_lag1,0.06323908238126041
ATVI_STOCK_RV5,RVD,relspr_lag1,0.05466337704685024
ATVI_STOCK_RV5,RVD,d_log_dollar_volume_lag1,0.05096596480181848
ATVI_STOCK_RV5,RVD,ofi_lag1,0.03833119759009081
AZN_STOCK_RV5,RVW,VIX_lag1,0.31082935926578736
AZN_STOCK_RV5,RVD,RVW,0.23831698439397617
AZN_STOCK_RV5,RVD,VIX_lag1,0.08607022597362098
AZN_STOCK_RV5,RVD,M1W_lag1,0.08150014623599512
AZN_STOCK_RV5,RVD,relspr_lag1,0.08096157232137081
AZN_STOCK_RV5,RVD,d_log_dollar_volume_lag1,0.06862326850482216
AZN_STOCK_RV5,RVD,ofi_lag1,0.06396427205783282
APA_STOCK_RV5,RVD,RVW,0.15374887023898465
APA_STOCK_RV5,RVD,ofi_lag1,0.10186335533554067
APA_STOCK_RV5,RVD,M1W_lag1,0.09064332250529793
APA_STOCK_RV5,RVD,relspr_lag1,0.06712501951324014
APA_STOCK_RV5,RVD,VIX_lag1,0.05651992038527506
APA_STOCK_RV5,RVW,VIX_lag1,0.04236460996318375
APA_STOCK_RV5,RVD,d_log_dollar_volume_lag1,0.030947034175606666
ARCC_STOCK_RV5,RVD,RVW,0.27817514909032814
ARCC_STOCK_RV5,RVW,VIX_lag1,0.11185230869711874
ARCC_STOCK_RV5,RVD,VIX_lag1,0.10383446012633651
ARCC_STOCK_RV5,RVD,M1W_lag1,0.051108602751970295
ARCC_STOCK_RV5,RVD,relspr_lag1,0.047743250377204685
ARCC_STOCK_RV5,RVD,ofi_lag1,0.0400883624437661
ARCC_STOCK_RV5,RVD,d_log_dollar_volume_lag1,0.03812143567134212
