data_source,feature_set,horizon,model,share_in_mcs,n_assets,mean_mcs_p
stock_rv5,MALL,1,ElasticNet,0.4074074074074074,54,0.12857407407407406
stock_rv5,MALL,1,GradientBoosting,0.9074074074074074,54,0.2686111111111111
stock_rv5,MALL,1,HAR,0.6851851851851852,54,0.18151851851851852
stock_rv5,MALL,1,HARCJ,0.7037037037037037,54,0.1983333333333333
stock_rv5,MALL,1,HARQ,0.7962962962962963,54,0.24629629629629632
stock_rv5,MALL,1,Lasso,0.42592592592592593,54,0.13005555555555556
stock_rv5,MALL,1,LogHAR,0.9259259259259259,54,0.2707222222222222
stock_rv5,MALL,1,NN1,0.8703703703703703,54,0.2591851851851852
stock_rv5,MALL,1,NN2,0.8518518518518519,54,0.24174074074074076
stock_rv5,MALL,1,NN3,0.8703703703703703,54,0.2602222222222222
stock_rv5,MALL,1,RandomForest,0.9259259259259259,54,0.2707222222222222
stock_rv5,MALL,1,Ridge,0.4444444444444444,54,0.1325
stock_rv5,MALL,1,SHAR,0.6851851851851852,54,0.18731481481481482
stock_rv5,MALL,5,ElasticNet,0.6296296296296297,54,0.1791851851851852
stock_rv5,MALL,5,GradientBoosting,0.9444444444444444,54,0.27964814814814815
stock_rv5,MALL,5,HAR,0.6851851851851852,54,0.20892592592592593
stock_rv5,MALL,5,HARCJ,0.6851851851851852,54,0.2197962962962963
stock_rv5,MALL,5,HARQ,0.8703703703703703,54,0.2392962962962963
stock_rv5,MALL,5,Lasso,0.5925925925925926,54,0.17544444444444446
stock_rv5,MALL,5,LogHAR,0.9444444444444444,54,0.2710740740740741
stock_rv5,MALL,5,NN1,0.9259259259259259,54,0.2781296296296296
stock_rv5,MALL,5,NN2,0.9074074074074074,54,0.27605555555555555
stock_rv5,MALL,5,NN3,0.9444444444444444,54,0.2801666666666667
stock_rv5,MALL,5,RandomForest,0.9444444444444444,54,0.2851666666666666
stock_rv5,MALL,5,Ridge,0.6296296296296297,54,0.18066666666666667
stock_rv5,MALL,5,SHAR,0.7407407407407407,54,0.21883333333333332
stock_rv5,MALL,22,ElasticNet,0.6111111111111112,54,0.15594444444444444
stock_rv5,MALL,22,GradientBoosting,0.9074074074074074,54,0.20351851851851852
stock_rv5,MALL,22,HAR,0.6296296296296297,54,0.17533333333333334
