data_source,feature_set,horizon,regime,model,mean_rel_loss,n_assets
stock_rv5,MALL,1,calm,ElasticNet,1.1821841499668957,1
stock_rv5,MALL,1,calm,GradientBoosting,1.0694695834964754,1
stock_rv5,MALL,1,calm,HAR,1.0,1
stock_rv5,MALL,1,calm,HARCJ,1.0290497973799182,1
stock_rv5,MALL,1,calm,HARQ,1.0371189010482866,1
stock_rv5,MALL,1,calm,Lasso,1.1878490954685426,1
stock_rv5,MALL,1,calm,LogHAR,1.0763933220607662,1
stock_rv5,MALL,1,calm,NN1,1.0876744597572974,1
stock_rv5,MALL,1,calm,NN2,1.0997709931048023,1
stock_rv5,MALL,1,calm,NN3,1.1098738726649016,1
stock_rv5,MALL,1,calm,RandomForest,1.0758185649701633,1
stock_rv5,MALL,1,calm,Ridge,1.1739586774847768,1
stock_rv5,MALL,1,calm,SHAR,1.0043978655535755,1
stock_rv5,MALL,1,normal,ElasticNet,1.2593429894795074,1
stock_rv5,MALL,1,normal,GradientBoosting,1.0543238347642099,1
stock_rv5,MALL,1,normal,HAR,1.0,1
stock_rv5,MALL,1,normal,HARCJ,1.13846810309116,1
stock_rv5,MALL,1,normal,HARQ,1.026722155690536,1
stock_rv5,MALL,1,normal,Lasso,1.2591052113781627,1
stock_rv5,MALL,1,normal,LogHAR,1.0556420178838726,1
stock_rv5,MALL,1,normal,NN1,1.209829920536881,1
stock_rv5,MALL,1,normal,NN2,1.0848455328634743,1
stock_rv5,MALL,1,normal,NN3,1.0993477382849268,1
stock_rv5,MALL,1,normal,RandomForest,1.0370320430361524,1
stock_rv5,MALL,1,normal,Ridge,1.2429731696706408,1
stock_rv5,MALL,1,normal,SHAR,0.9954799282335581,1
stock_rv5,MALL,1,turbulent,ElasticNet,1.2199624731837408,1
stock_rv5,MALL,1,turbulent,GradientBoosting,1.0980799370326362,1
stock_rv5,MALL,1,turbulent,HAR,1.0,1
stock_rv5,MALL,1,turbulent,HARCJ,1.2500080346853728,1
stock_rv5,MALL,1,turbulent,HARQ,1.066958235134116,1
stock_rv5,MALL,1,turbulent,Lasso,1.2207272916657943,1
stock_rv5,MALL,1,turbulent,LogHAR,1.0586472427910985,1
stock_rv5,MALL,1,turbulent,NN1,1.345187788475163,1
stock_rv5,MALL,1,turbulent,NN2,1.02341873659442,1
stock_rv5,MALL,1,turbulent,NN3,1.2373043195377542,1
stock_rv5,MALL,1,turbulent,RandomForest,1.096886931606796,1
stock_rv5,MALL,1,turbulent,Ridge,1.208455748803473,1
stock_rv5,MALL,1,turbulent,SHAR,0.9896633303426943,1
stock_rv5,MALL,5,calm,ElasticNet,1.0065602495538575,1
stock_rv5,MALL,5,calm,GradientBoosting,0.9418383717125052,1
stock_rv5,MALL,5,calm,HAR,1.0,1
stock_rv5,MALL,5,calm,HARCJ,1.0390330220610347,1
stock_rv5,MALL,5,calm,HARQ,1.0071856050750776,1
stock_rv5,MALL,5,calm,Lasso,1.006239676369734,1
stock_rv5,MALL,5,calm,LogHAR,0.9498966559826563,1
stock_rv5,MALL,5,calm,NN1,0.9661633366241509,1
stock_rv5,MALL,5,calm,NN2,0.9657595570927469,1
stock_rv5,MALL,5,calm,NN3,0.9741522324754318,1
stock_rv5,MALL,5,calm,RandomForest,0.9634965086223801,1
stock_rv5,MALL,5,calm,Ridge,1.0113303991852252,1
stock_rv5,MALL,5,calm,SHAR,1.0073139881606115,1
stock_rv5,MALL,5,normal,ElasticNet,0.9321410381594508,1
stock_rv5,MALL,5,normal,GradientBoosting,0.7819006208295747,1
stock_rv5,MALL,5,normal,HAR,1.0,1
stock_rv5,MALL,5,normal,HARCJ,1.1278224721364143,1
stock_rv5,MALL,5,normal,HARQ,1.1169802713789025,1
stock_rv5,MALL,5,normal,Lasso,0.9294607617705297,1
stock_rv5,MALL,5,normal,LogHAR,0.7401792250102096,1
stock_rv5,MALL,5,normal,NN1,0.8125454099552154,1
stock_rv5,MALL,5,normal,NN2,0.7883396650221138,1
stock_rv5,MALL,5,normal,NN3,0.7789623696200725,1
stock_rv5,MALL,5,normal,RandomForest,0.7887464572842058,1
stock_rv5,MALL,5,normal,Ridge,0.9282415607696094,1
stock_rv5,MALL,5,normal,SHAR,1.3740389529385453,1
stock_rv5,MALL,5,turbulent,ElasticNet,0.9392876275624858,1
stock_rv5,MALL,5,turbulent,GradientBoosting,0.8669732302411705,1
stock_rv5,MALL,5,turbulent,HAR,1.0,1
stock_rv5,MALL,5,turbulent,HARCJ,1.1166373864347339,1
stock_rv5,MALL,5,turbulent,HARQ,1.122934553005114,1
stock_rv5,MALL,5,turbulent,Lasso,0.9399128956942399,1
stock_rv5,MALL,5,turbulent,LogHAR,0.8375487230618246,1
stock_rv5,MALL,5,turbulent,NN1,0.9499124472282141,1
stock_rv5,MALL,5,turbulent,NN2,0.7839853007087154,1
stock_rv5,MALL,5,turbulent,NN3,0.9514455976021565,1
stock_rv5,MALL,5,turbulent,RandomForest,0.9001235372953811,1
stock_rv5,MALL,5,turbulent,Ridge,0.9282148096818489,1
stock_rv5,MALL,5,turbulent,SHAR,1.324518978469072,1
stock_rv5,MALL,22,calm,ElasticNet,0.9949637025551847,1
stock_rv5,MALL,22,calm,GradientBoosting,0.9441253934908228,1
stock_rv5,MALL,22,calm,HAR,1.0,1
stock_rv5,MALL,22,calm,HARCJ,0.973093415414009,1
stock_rv5,MALL,22,calm,HARQ,1.0104765492804335,1
stock_rv5,MALL,22,calm,Lasso,0.9906008291336611,1
stock_rv5,MALL,22,calm,LogHAR,0.9438566616559896,1
stock_rv5,MALL,22,calm,NN1,1.0004682631345203,1
stock_rv5,MALL,22,calm,NN2,1.0069983762103214,1
stock_rv5,MALL,22,calm,NN3,1.0073308107959307,1
